what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717195622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717198572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717198595
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717200307
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1432717200315
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432717203891
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432717203959
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1432717209345
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432717209345
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1432717212057
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1432717214400
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1432717245076
activated,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1432717247830
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1432717247831
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1432717247855
error,log,,,"Exception occurred in listener of Java element change notification",1432717247855
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1432717248978
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1432717249017
error,log,,,"Exception occurred in listener of Java element change notification",1432717249017
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1432717249578
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1432717249593
error,log,,,"Exception occurred in listener of Java element change notification",1432717249593
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1432717250210
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jdt.core"".",1432717250232
error,log,,,"Exception occurred in listener of Java element change notification",1432717250232
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1432717251722
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1432717253136
closed,editor,org.eclipse.wst.html.ui,1.0.504.v201101122108,"org.eclipse.wst.html.core.htmlsource.source",1432717253136
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1432717254230
closed,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1432717254230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717286218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432717289067
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1432717289082
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432717289518
