what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549175354
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430549182120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1430549183360
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549188916
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1430549190537
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430549190588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549190649
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430549190657
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549198538
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430549199648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549199679
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1430549199688
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.collapseAll",1430549204313
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549211574
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549224704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549231038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549235664
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430549235806
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430549235888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430549240746
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430549506363
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549506384
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549507728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1430549526313
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1430549531735
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430549547211
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549547231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549548464
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430549705821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430550643778
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430550692588
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1430550737480
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1430550737492
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1430550737499
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1430550737537
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1430550737539
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430550785071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430550785091
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430550786491
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430550788350
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430550800435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1430550895187
