what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944703807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944703873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944705199
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430944709381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430944710598
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430944726714
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944726735
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944727583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944727640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944728735
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430944730653
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430944732840
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430944748594
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944748615
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944749575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944749642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944750646
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430944783059
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944783079
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944784087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944784146
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944785302
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430944805787
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944805806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944807008
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944807084
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944808374
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430944809518
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430944810775
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430944821980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944821999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944822959
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944823015
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944824127
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430944825654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944831892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944832439
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430944832475
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430944946785
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945698546
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945774186
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945781014
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430945790178
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430945790491
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430945827294
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945827309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945828544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945828622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945830997
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430945961105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945961120
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945962620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945962683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945964277
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430945972676
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945972676
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430945973848
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430945978301
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430945981051
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430946012236
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1430946012767
started,bundle,org.eclipse.wst.ws.service.policy,1.0.204.v201011011834,"org.eclipse.wst.ws.service.policy",1430946012876
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1430946013267
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1430946013267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946017517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946026542
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1430946026558
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430946041776
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430946041870
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430946088723
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946088754
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946089848
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430946093870
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1430946099975
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430946138709
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430946315755
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430946329373
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430946372596
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430946402055
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946696928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946949931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946970493
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430946971196
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947011407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947371504
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430947371536
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947668938
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947716983
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430947716999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947719889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430947728363
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430947728675
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430947728753
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430947823527
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430948060172
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430948180792
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430948281360
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1430948281391
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1430948551088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430948554580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1430948563174
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430948563330
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1430948563424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430948582151
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1430948591923
