what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431790875820
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431790879618
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431798282735
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431798285284
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431798300738
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431798303830
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431802936386
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431803404952
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431803405028
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431803406039
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431803406973
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431803406973
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431803413373
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431803806096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431803897484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804140680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804152632
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804184234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804212659
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804251511
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804287422
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804319192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804342033
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804360196
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804474877
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804617745
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804671520
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431804707318
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431804732616
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431804822071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431804826867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805010031
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431805018493
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1431805085699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431805090002
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431805121776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1431805124546
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431805178793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805178815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805180108
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431805193631
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431805198730
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431805251893
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805251912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805252651
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431805253786
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431805270748
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431805302232
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431805310757
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431805370372
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431805379532
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431805380876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805488711
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805524750
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805527103
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805864115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805868478
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805917346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805919607
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431805931806
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431806179675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431806431039
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431806546744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431806613014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431806983764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807070830
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431807211017
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431807211126
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431807211191
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431807211191
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431807219257
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431807230801
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431807498413
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431807669556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807669576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807670642
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431807673755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431807689673
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431807700488
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807700507
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807701475
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431807740470
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807740489
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807741778
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431807818551
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807818571
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431807819674
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431808034110
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431808044509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809018438
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809255652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809261437
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809266702
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809268694
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809275326
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809278076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809482427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809483953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809587622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809593081
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809710541
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431809962965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431810014197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431810016444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431810023308
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431810027619
