what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551759150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551760337
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1432551760353
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551763961
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551764008
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1432551773220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551779048
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551782287
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551782318
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551784037
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.debug",1432551784053
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551788829
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551788860
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551801443
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551803288
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1432551862396
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1432551872885
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551888471
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1432551890986
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551890986
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1432551893229
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551896216
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551898779
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551898797
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551911352
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1432551911352
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551915073
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551915135
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551938793
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432551941443
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1432551943344
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432551943344
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1432551985563
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1432552050633
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1432552223553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552226913
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552228522
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552228881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552231747
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552231778
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1432552233231
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1432552233231
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1432552236867
