what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431084326838
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084326860
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084328232
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084328311
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084329222
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431084330727
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431084361500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084410722
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084486164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084493455
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084494288
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431084497894
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431087598722
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431088069771
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431088294914
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431088325503
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431088325523
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431088326908
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431088326989
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431088330212
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431088344635
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431088344644
