what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1429018953944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1429018972570
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1429019243056
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429019394643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429023462345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429023485718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429023502353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429023791507
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429024479164
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429026065359
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429028104504
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1429028663370
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429028716244
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1429028734630
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429028734958
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1429028735146
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1429028940869
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1429028940901
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1429028940916
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1429028941026
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1429028941041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1429028941557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1429028949932
